Mutant,RunNum,Solved,RepairedAccuracy,MaxAccuracy,RepairAttemtpsNum,TimeSpent
reuters_change_loss_function_mutated0_MP_hinge,40,No,-,0.808888912,8,115.7266741
reuters_change_loss_function_mutated0_MP_hinge,41,No,-,0.808888912,8,115.914113
reuters_change_loss_function_mutated0_MP_hinge,42,No,-,0.808888912,8,116.9282379
reuters_change_loss_function_mutated0_MP_hinge,43,No,-,0.808888912,8,116.1063402
reuters_change_loss_function_mutated0_MP_hinge,44,No,-,0.808888912,8,116.5186431
reuters_change_loss_function_mutated0_MP_hinge,45,No,-,0.808888912,8,116.396394
reuters_change_loss_function_mutated0_MP_hinge,46,No,-,0.808888912,8,116.8341789
reuters_change_loss_function_mutated0_MP_hinge,47,No,-,0.808888912,8,116.5654049
reuters_change_loss_function_mutated0_MP_hinge,48,No,-,0.808888912,8,116.0534
reuters_change_loss_function_mutated0_MP_hinge,49,No,-,0.808888912,8,117.0642571
origin_48385830,0,No,-,0.101499997,6,711.4931495
origin_48385830,1,No,-,0.101499997,6,740.0411446
origin_48385830,2,No,-,0.101499997,6,759.0240088
origin_48385830,3,No,-,0.101499997,6,754.3670204
origin_48385830,4,No,-,0.101499997,6,745.5421591
origin_48385830,5,No,-,0.101499997,6,745.9614096
origin_48385830,6,No,-,0.101499997,6,758.7997541
origin_48385830,7,No,-,0.101499997,6,746.9376006
origin_48385830,8,No,-,0.101499997,6,743.4977138
origin_48385830,9,No,-,0.101499997,6,758.8126564
origin_48385830,10,No,-,0.101499997,6,745.4811862
origin_48385830,11,No,-,0.101499997,6,742.4338264
origin_48385830,12,No,-,0.101499997,6,737.0013599
origin_48385830,13,No,-,0.101499997,6,729.0173054
origin_48385830,14,No,-,0.101499997,6,748.713623
origin_48385830,15,No,-,0.101499997,6,748.6179786
origin_48385830,16,No,-,0.101499997,6,730.5737178
origin_48385830,17,No,-,0.101499997,6,738.9779806
origin_48385830,18,No,-,0.101499997,6,752.9633422
origin_48385830,19,No,-,0.101499997,6,727.7384539
origin_48385830,20,No,-,0.101499997,6,736.256711
origin_48385830,21,No,-,0.101499997,6,735.948818
origin_48385830,22,No,-,0.101499997,6,758.8614495
origin_48385830,23,No,-,0.101499997,6,748.642504
origin_48385830,24,No,-,0.101499997,6,756.3663924
origin_48385830,25,No,-,0.101499997,6,731.1513946
origin_48385830,26,No,-,0.101499997,6,764.2273376
origin_48385830,27,No,-,0.101499997,6,726.0568535
origin_48385830,28,No,-,0.101499997,6,739.5236266
origin_48385830,29,No,-,0.101499997,6,762.0083823
origin_48385830,30,No,-,0.101499997,6,749.2958546
origin_48385830,31,No,-,0.101499997,6,745.0420859
origin_48385830,32,No,-,0.101499997,6,755.9811349
origin_48385830,33,No,-,0.101499997,6,752.1281161
origin_48385830,34,No,-,0.101499997,6,754.0438495
origin_48385830,35,No,-,0.101499997,6,746.4876304
origin_48385830,36,No,-,0.101499997,6,729.7231767
origin_48385830,37,No,-,0.101499997,6,750.3442061
origin_48385830,38,No,-,0.101499997,6,741.0568397
origin_48385830,39,No,-,0.101499997,6,756.0978851
origin_48385830,40,No,-,0.101499997,6,743.1326349
origin_48385830,41,No,-,0.101499997,6,763.1266742
origin_48385830,42,No,-,0.101499997,6,731.5311062
origin_48385830,43,No,-,0.101499997,6,759.8067451
origin_48385830,44,No,-,0.101499997,6,754.4680545
origin_48385830,45,No,-,0.101499997,6,759.5366907
origin_48385830,46,No,-,0.101499997,6,730.5687184
origin_48385830,47,No,-,0.101499997,6,740.909205
origin_48385830,48,No,-,0.101499997,6,740.1630001
origin_48385830,49,No,-,0.101499997,6,756.4356182
reuters_change_weights_initialisation_mutated0_MP_ones_0,0,No,-,0.555555582,8,116.0620449
