trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.bi1,config.bi2,config.bi3,config.act1,config.act2,config.act3,config.epochs,config.unit1,config.unit2,config.layer1,config.layer2
d3016b3c,,,,,,,,2f1ff7fab4cb4bb5a006f70a887a0a7d,2022-09-10_13-45-41,1662817541.0,,22292.0,b430368dd22d,172.17.0.2,,,,,,categorical_crossentropy,20.0,sgd,1.9465903794374684,constant,constant,glorot_normal,truncated_normal,orthogonal,orthogonal,selu,hard_sigmoid,relu,10.0,10.0,20.0,2.0,1.0
d9900fe4,0.5453125238418579,0.612500011920929,7.475867033004761,True,,,1.0,fd07bd7538724426a79bdd527ce28fb5,2022-09-10_13-45-56,1662817556.0,7.475867033004761,22666.0,b430368dd22d,172.17.0.2,7.475867033004761,0.0,1.0,0.005627155303955078,"22_act1=sigmoid,act2=elu,act3=softplus,batch_size=64,bi1=he_normal,bi2=lecun_normal,bi3=he_normal,epochs=31,ki1=glorot_normal,ki2=constant,ki3=glorot_normal,layer1=1,layer2=2,loss=hinge,lr=6.2834,optimizer=adagrad,unit1=20,unit2=20",hinge,64.0,adagrad,6.283354431710998,glorot_normal,constant,glorot_normal,he_normal,lecun_normal,he_normal,sigmoid,elu,softplus,31.0,20.0,20.0,1.0,2.0
de5521ae,0.5453125238418579,0.612500011920929,7.333998918533325,True,,,1.0,0c76cbedfc7a43b9aca1d7beabb53d56,2022-09-10_13-46-09,1662817569.0,7.333998918533325,23222.0,b430368dd22d,172.17.0.2,7.333998918533325,0.0,1.0,0.005459785461425781,"23_act1=softsign,act2=relu,act3=sigmoid,batch_size=32,bi1=glorot_normal,bi2=lecun_uniform,bi3=he_normal,epochs=12,ki1=lecun_normal,ki2=orthogonal,ki3=lecun_normal,layer1=0,layer2=1,loss=kullback_leibler_divergence,lr=2.8801,optimizer=nadam,unit1=20,unit2=40",kullback_leibler_divergence,32.0,nadam,2.8801007503927285,lecun_normal,orthogonal,lecun_normal,glorot_normal,lecun_uniform,he_normal,softsign,relu,sigmoid,12.0,20.0,40.0,0.0,1.0
e61539ba,0.10781250149011612,0.09375,5.563829660415649,True,,,1.0,2a61a35207ac4192bcc71b20f966b499,2022-09-10_13-46-20,1662817580.0,5.563829660415649,24372.0,b430368dd22d,172.17.0.2,5.563829660415649,0.0,1.0,0.004854440689086914,"24_act1=tanh,act2=sigmoid,act3=softsign,batch_size=512,bi1=glorot_normal,bi2=lecun_uniform,bi3=he_normal,epochs=15,ki1=zeros,ki2=truncated_normal,ki3=he_uniform,layer1=1,layer2=1,loss=mean_squared_error,lr=9.9149,optimizer=nadam,unit1=20,unit2=20",mean_squared_error,512.0,nadam,9.914861060361247,zeros,truncated_normal,he_uniform,glorot_normal,lecun_uniform,he_normal,tanh,sigmoid,softsign,15.0,20.0,20.0,1.0,1.0
edd4f01e,0.5453125238418579,0.612500011920929,15.061676502227783,True,,,1.0,feeaeb388f1d48a096f3005f3a8298a6,2022-09-10_13-46-41,1662817601.0,15.061676502227783,25177.0,b430368dd22d,172.17.0.2,15.061676502227783,0.0,1.0,0.005187511444091797,"25_act1=tanh,act2=elu,act3=exponential,batch_size=32,bi1=ones,bi2=he_normal,bi3=he_normal,epochs=48,ki1=truncated_normal,ki2=truncated_normal,ki3=random_normal,layer1=0,layer2=1,loss=squared_hinge,lr=3.1960,optimizer=rmsprop,unit1=10,unit2=40",squared_hinge,32.0,rmsprop,3.1960486724012247,truncated_normal,truncated_normal,random_normal,ones,he_normal,he_normal,tanh,elu,exponential,48.0,10.0,40.0,0.0,1.0
f463c2fc,0.3296875059604645,0.29374998807907104,3.920757293701172,True,,,1.0,c9fc29bb20e54ca1bdd0fda2cd7ce965,2022-09-10_13-46-50,1662817610.0,3.920757293701172,25901.0,b430368dd22d,172.17.0.2,3.920757293701172,0.0,1.0,0.004668235778808594,"26_act1=softsign,act2=linear,act3=elu,batch_size=512,bi1=ones,bi2=glorot_uniform,bi3=lecun_uniform,epochs=12,ki1=ones,ki2=random_normal,ki3=ones,layer1=0,layer2=1,loss=squared_hinge,lr=4.3249,optimizer=adadelta,unit1=10,unit2=10",squared_hinge,512.0,adadelta,4.324871358624888,ones,random_normal,ones,ones,glorot_uniform,lecun_uniform,softsign,linear,elu,12.0,10.0,10.0,0.0,1.0
004f9ee2,0.5453125238418579,0.612500011920929,5.510370492935181,True,,,1.0,ce409e6d1a7243bf84903d98209107c9,2022-09-10_13-47-00,1662817620.0,5.510370492935181,26350.0,b430368dd22d,172.17.0.2,5.510370492935181,0.0,1.0,0.006166696548461914,"27_act1=relu,act2=softsign,act3=softplus,batch_size=32,bi1=lecun_normal,bi2=lecun_uniform,bi3=constant,epochs=10,ki1=truncated_normal,ki2=ones,ki3=glorot_uniform,layer1=0,layer2=1,loss=mean_squared_error,lr=2.5822,optimizer=sgd,unit1=40,unit2=40",mean_squared_error,32.0,sgd,2.5822479749001475,truncated_normal,ones,glorot_uniform,lecun_normal,lecun_uniform,constant,relu,softsign,softplus,10.0,40.0,40.0,0.0,1.0
05ad6946,0.10781250149011612,0.09375,5.524622678756714,True,,,1.0,b9176a2e5bc54900983c8ea5bc62dbe7,2022-09-10_13-47-11,1662817631.0,5.524622678756714,26910.0,b430368dd22d,172.17.0.2,5.524622678756714,0.0,1.0,0.004767894744873047,"28_act1=relu,act2=softsign,act3=softplus,batch_size=128,bi1=random_uniform,bi2=truncated_normal,bi3=constant,epochs=31,ki1=truncated_normal,ki2=lecun_normal,ki3=glorot_uniform,layer1=2,layer2=0,loss=mean_squared_logarithmic_error,lr=3.2347,optimizer=adamax,unit1=10,unit2=20",mean_squared_logarithmic_error,128.0,adamax,3.2346795702459326,truncated_normal,lecun_normal,glorot_uniform,random_uniform,truncated_normal,constant,relu,softsign,softplus,31.0,10.0,20.0,2.0,0.0
0c3be468,0.5453125238418579,0.612500011920929,4.983102321624756,True,,,1.0,125e1a743487438294eeade912f495b9,2022-09-10_13-47-22,1662817642.0,4.983102321624756,27402.0,b430368dd22d,172.17.0.2,4.983102321624756,0.0,1.0,0.005101919174194336,"29_act1=hard_sigmoid,act2=softplus,act3=exponential,batch_size=512,bi1=lecun_uniform,bi2=truncated_normal,bi3=zeros,epochs=8,ki1=random_normal,ki2=truncated_normal,ki3=orthogonal,layer1=1,layer2=0,loss=mean_squared_error,lr=1.6051,optimizer=nadam,unit1=40,unit2=10",mean_squared_error,512.0,nadam,1.605113548230069,random_normal,truncated_normal,orthogonal,lecun_uniform,truncated_normal,zeros,hard_sigmoid,softplus,exponential,8.0,40.0,10.0,1.0,0.0
12ca6ec6,0.5453125238418579,0.612500011920929,14.683006286621094,True,,,1.0,7702a6a7147b4566a745d5face15273b,2022-09-10_13-47-42,1662817662.0,14.683006286621094,27845.0,b430368dd22d,172.17.0.2,14.683006286621094,0.0,1.0,0.005443096160888672,"30_act1=exponential,act2=softsign,act3=softsign,batch_size=20,bi1=zeros,bi2=he_uniform,bi3=random_normal,epochs=31,ki1=glorot_normal,ki2=random_normal,ki3=glorot_normal,layer1=1,layer2=2,loss=categorical_crossentropy,lr=8.8921,optimizer=adagrad,unit1=40,unit2=40",categorical_crossentropy,20.0,adagrad,8.892104856099612,glorot_normal,random_normal,glorot_normal,zeros,he_uniform,random_normal,exponential,softsign,softsign,31.0,40.0,40.0,1.0,2.0
